BHID,from_m,to_m,thickness_m,avg_Cu_pct,cutoff_Cu_pct
MHCM01,78.35,83.75,5.4,0.23000000000000004,0.2
MHCM01,93.75,98.75,5.0,0.22000000000000006,0.2
MHCM02,63.5,66.5,3.0,0.23,0.2
MHCM03,126.2,136.86,10.66,0.42,0.2
MHCM03,139.7,155.75,16.05,0.30000000000000004,0.2
MHCM04,145.9,148.6,2.7,0.37,0.2
MHCM04,156.0,158.0,2.0,0.22000000000000003,0.2
MHCM06,164.92,168.0,3.08,0.43,0.2
MHCM06,187.9,192.8,4.9,1.2,0.2
MHCM08,140.5,144.0,3.5,0.23,0.2
MHCM09,132.8,140.5,7.7,0.25,0.2
MHCM14,82.2,85.5,3.3,0.26,0.2
MHCM15,241.0,259.0,18.0,0.6,0.2
MNJ01,134.3,135.3,1.0,0.23389799999999997,0.2
MNJ01,214.8,215.8,1.0,0.31299999999999994,0.2
MNJ01,221.3,224.8,3.5,0.2195714285714285,0.2
MNJ01,234.3,280.8,46.5,0.26064731182796047,0.2
MNJ01,291.3,296.3,5.0,0.22090000000000068,0.2
MNJ02,212.4,251.4,39.0,0.3022051282051282,0.2
MNJ03,290.4,316.4,26.0,0.2000192307692308,0.2
MNJ04,99.0,108.0,9.0,0.4199444444444444,0.2
MNJ04,235.3,237.3,2.0,0.20350000000000001,0.2
MNJ04,241.8,244.8,3.0,0.20816666666666647,0.2
MNJ04,253.3,270.8,17.5,0.20014285714285732,0.2
MNJ04,340.3,422.3,82.0,0.20217804878048765,0.2
MNJ04,437.3,439.3,2.0,0.20300000000000118,0.2
MNJ05,68.4,69.4,1.0,0.20500000000000002,0.2
MNJ05,72.9,78.4,5.5,0.2082727272727273,0.2
MNJ05,87.4,104.9,17.5,0.2000571428571429,0.2
MNJ05,109.9,111.4,1.5,0.20566666666666636,0.2
MNJ05,121.4,122.4,1.0,0.26200000000000045,0.2
MNJ05,156.9,157.9,1.0,0.22550000000000026,0.2
MNJ05,161.4,162.4,1.0,0.2029999999999994,0.2
MNJ05,186.9,190.4,3.5,0.2067142857142856,0.2
MNJ05,206.9,208.4,1.5,0.22066666666666634,0.2
MNJ05,217.9,224.4,6.5,0.228292307692308,0.2
MNJ06,82.3,83.3,1.0,0.23399999999999999,0.2
MNJ06,183.3,185.8,2.5,0.20560000000000006,0.2
MNJ06,187.3,190.3,3.0,0.2003333333333334,0.2
MNJ06,216.3,244.3,28.0,0.2002321428571428,0.2
MNJ06,271.3,272.3,1.0,0.22749999999999915,0.2
MNJ06,280.3,283.3,3.0,0.20683333333333387,0.2
MNJ07,239.8,241.3,1.5,0.21199999999999974,0.2
MNJ07,244.3,245.3,1.0,0.2254999999999998,0.2
MNJ07,259.3,261.3,2.0,0.2004999999999999,0.2
MNJ07,265.3,268.8,3.5,0.2077142857142858,0.2
MNJ08,179.3,252.3,72.99999999999999,0.20004109589041105,0.2
MNJ09,270.3,271.3,1.0,0.2144999999999999,0.2
MNJ09,313.6,347.3,33.69999999999999,0.200379821958457,0.2
MNJ09,367.0,369.3,2.3000000000000114,0.22599999999999734,0.2
MNJ09,391.3,399.3,7.999999999999986,0.20437500000000056,0.2
MNJ10,159.3,209.3,50.0,0.20856000000000016,0.2
MNJ11,84.6,86.3,1.7000000000000028,0.2094117647058817,0.2
MNJ11,157.3,158.3,1.0,0.21000000000000008,0.2
MNJ11,187.8,189.3,1.5,0.21566666666666676,0.2
MNJ11,198.8,206.8,8.0,0.2023750000000001,0.2
MNJ11,212.3,263.6,51.30000000000001,0.20044639376218384,0.2
MNJ11,273.3,274.3,1.0,0.2859999999999996,0.2
MNJ12,77.3,81.3,4.0,0.2,0.2
MNJ12,257.3,268.7,11.400000000000006,0.45464912280701725,0.2
MNJ12,346.3,351.8,5.5,0.20999999999999988,0.2
MNJ12,370.3,397.9,27.599999999999994,0.2030797101449274,0.2
MNJ13,144.8,147.3,2.5,0.23399999999999999,0.2
MNJ13,422.3,429.3,7.0,0.20357142857142857,0.2
MNJ14,134.8,135.8,1.0,0.25027749999999993,0.2
MNJ14,216.3,217.8,1.5,0.21345899999999998,0.2
MNJ14,483.3,486.3,3.0,0.21896866666666673,0.2
MNJ14,529.3,531.3,2.0,0.22157500000000008,0.2
MNJ14,556.3,557.3,1.0,0.2450000000000001,0.2
MNJ15,449.8,457.3,7.5,0.20896320000000002,0.2
MNJ16,269.3,271.3,2.0,0.25525,0.2
MNJ16,315.3,323.8,8.500000000000004,0.20923529411764685,0.2
MNJ16,359.3,360.3,1.0,0.24799999999999978,0.2
MNJ16,364.3,366.8,2.5,0.2119999999999999,0.2
MNJ16,404.8,410.8,6.0,0.2020833333333334,0.2
MNJ16,439.3,441.3,2.0,0.21099999999999985,0.2
MNJ16,454.3,465.3,11.0,0.21522727272727302,0.2
MNJ16,498.3,501.8,3.5,0.22442857142857114,0.2
MNJ16,505.3,507.8,2.5,0.21060000000000018,0.2
MNJ16,525.3,527.3,2.0,0.2104999999999997,0.2
MNJ17,134.3,139.3,5.0,0.21735,0.2
MNJ17,167.3,169.3,2.0,0.20397500000000002,0.2
MNJ17,193.8,195.3,1.5,0.20403333333333343,0.2
