BHID,from_m,to_m,thickness_m,avg_Cu_pct,cutoff_Cu_pct
MHCM06,187.9,192.8,4.9,1.2,0.5
MHCM15,241.0,259.0,18.0,0.6,0.5
MNJ01,223.8,224.8,1.0,0.7295,0.5
MNJ01,238.8,245.8,7.0,0.5134285714285716,0.5
MNJ01,253.8,267.8,14.0,0.502364285714297,0.5
MNJ01,291.8,293.8,2.0,0.5347500000000007,0.5
MNJ02,215.9,218.9,3.0,0.5366666666666666,0.5
MNJ02,219.4,221.4,2.0,0.5102499999999999,0.5
MNJ02,225.4,238.4,13.0,0.5156153846153847,0.5
MNJ03,308.4,313.4,5.0,0.5124000000000002,0.5
MNJ04,99.0,106.0,7.0,0.5373571428571429,0.5
MNJ04,349.5,353.8,4.300000000000011,0.5202558139534865,0.5
MNJ04,379.8,402.3,22.5,0.5004666666666671,0.5
MNJ05,103.4,104.9,1.5,0.5050000000000002,0.5
MNJ05,219.9,222.4,2.5,0.5319600000000001,0.5
MNJ06,218.3,221.3,3.0,0.5015000000000002,0.5
MNJ06,236.8,239.3,2.5,0.5608000000000001,0.5
MNJ08,184.7,186.3,1.5999999999999943,0.5132500000000019,0.5
MNJ08,192.3,199.3,7.0,0.5006428571428572,0.5
MNJ08,226.3,237.3,11.0,0.5044545454545457,0.5
MNJ08,247.8,249.3,1.5,0.5099999999999992,0.5
MNJ09,312.8,323.3,10.5,0.5013619047619047,0.5
MNJ09,391.3,392.3,1.0,0.6225000000000005,0.5
MNJ10,163.3,177.0,13.699999999999989,0.502350364963504,0.5
MNJ10,188.3,190.3,2.0,0.5454999999999997,0.5
MNJ11,198.8,200.3,1.5,0.5276666666666666,0.5
MNJ11,233.3,235.3,2.0,0.5299999999999998,0.5
MNJ11,241.4,242.8,1.4000000000000057,0.55807142857143,0.5
MNJ11,258.3,263.6,5.300000000000011,0.5471132075471775,0.5
MNJ12,79.3,80.3,1.0,0.5700000000000001,0.5
MNJ12,257.3,266.7,9.400000000000006,0.5492553191489358,0.5
MNJ12,348.3,349.3,1.0,0.6349999999999998,0.5
MNJ12,370.3,374.8,4.5,0.5055555555555552,0.5
MNJ12,394.8,396.9,2.0999999999999943,0.5214285714285724,0.5
MNJ12,405.3,406.8,1.5,0.6279999999999978,0.5
MNJ13,428.3,429.3,1.0,0.56,0.5
MNJ14,485.3,486.3,1.0,0.6520320000000002,0.5
MNJ15,453.8,456.3,2.5,0.504954,0.5
MNJ16,270.3,271.3,1.0,0.5094999999999998,0.5
MNJ16,316.3,318.8,2.5,0.5559999999999999,0.5
MNJ16,409.3,410.8,1.5,0.5743333333333336,0.5
MNJ16,455.3,458.8,3.5,0.5200000000000004,0.5
MNJ17,136.3,137.8,1.5,0.6174,0.5
